rewiring_p,average_clustering,average_shortest_path_length,match_score
0.0,0.7,10.12987012987013,7.813929394155099
0.001,0.6988704867060093,9.4253982263691,7.108327977360079
0.005,0.6927948201934495,5.647123103433783,3.323977187912202
0.01,0.6858492861919475,4.8096919261967805,2.4796004766736974
0.03,0.6612739611259254,3.790148362963897,1.435481588374792
0.05,0.6149096764692363,3.242193081998907,0.8411620227531129
0.1,0.5190612396577409,2.8403101752616315,0.34343067920434195
0.3,0.2606533211773826,2.524923296767957,0.23036411776969073
0.5,0.12266049833371939,2.417980078174253,0.4753001592070582
1.0,0.048228665451546915,2.3602740301769427,0.6074380400865409
